Date time		Value
12/06/2021; 19:11:55	29.07	69 
12/06/2021; 19:12:54	28.89	68 
12/06/2021; 19:13:54	29.07	68 
12/06/2021; 19:14:54	29.07	69 
12/06/2021; 19:15:54	29.07	69 
12/06/2021; 19:16:54	28.98	68 
12/06/2021; 19:17:54	29.07	68 
12/06/2021; 19:18:54	29.16	69 
12/06/2021; 19:19:54	29.07	68 
12/06/2021; 19:20:54	29.07	69 
12/06/2021; 19:21:53	29.07	69 
12/06/2021; 19:22:53	29.07	69 
12/06/2021; 19:23:53	29.07	69 
12/06/2021; 19:24:53	29.07	69 
12/06/2021; 19:25:53	29.07	70 
12/06/2021; 19:26:53	29.07	69 
12/06/2021; 19:27:53	29.07	69 
12/06/2021; 19:28:53	29.07	69 
12/06/2021; 19:29:52	28.98	69 
12/06/2021; 19:30:52	29.07	69 
12/06/2021; 19:31:52	29.07	69 
12/06/2021; 19:32:52	29.07	69 
12/06/2021; 19:33:52	29.07	69 
12/06/2021; 19:34:52	28.98	69 
12/06/2021; 19:35:52	29.07	70 
12/06/2021; 19:36:52	28.98	69 
12/06/2021; 19:37:52	28.98	69 
12/06/2021; 19:38:51	28.98	69 
12/06/2021; 19:39:51	28.98	69 
12/06/2021; 19:40:51	28.89	69 
12/06/2021; 19:41:51	29.07	70 
12/06/2021; 19:42:51	29.07	69 
12/06/2021; 19:43:51	29.07	69 
12/06/2021; 19:44:51	28.98	69 
12/06/2021; 19:45:51	28.89	69 
12/06/2021; 19:46:50	29.07	69 
12/06/2021; 19:47:50	28.98	69 
12/06/2021; 19:48:50	28.89	69 
12/06/2021; 19:49:50	28.98	69 
12/06/2021; 19:50:50	28.80	69 
12/06/2021; 19:51:50	28.98	69 
12/06/2021; 19:52:50	28.98	69 
12/06/2021; 19:53:50	28.98	69 
12/06/2021; 19:54:59	28.89	69 
12/06/2021; 19:55:59	28.89	69 
12/06/2021; 19:56:59	28.89	69 
12/06/2021; 19:57:59	28.89	69 
12/06/2021; 19:58:59	28.98	69 
12/06/2021; 19:59:59	28.89	69 
12/06/2021; 20:00:59	28.89	69 
12/06/2021; 20:01:59	28.89	69 
12/06/2021; 20:02:58	28.89	69 
12/06/2021; 20:03:58	28.89	69 
12/06/2021; 20:04:58	28.71	69 
12/06/2021; 20:05:58	28.89	70 
12/06/2021; 20:06:58	28.80	69 
12/06/2021; 20:07:58	28.80	69 
12/06/2021; 20:08:58	28.80	69 
12/06/2021; 20:09:58	28.80	69 
12/06/2021; 20:10:58	28.80	69 
